Rank,Team,Won,Lost,Pct.,First NBA season,Total games,Division
1,San Antonio Spurs,"2,162","1,316",0.622,1976–77,"3,478",Southwest
2,Los Angeles Lakers,"3,333","2,282",0.594,1948–49,"5,615",Pacific
3,Boston Celtics,"3,378","2,346",0.59,1946–47,"5,724",Atlantic
4,Oklahoma City Thunder,"2,283","1,933",0.542,1967–68,"4,216",Northwest
5,Utah Jazz,"1,964","1,678",0.539,1974–75,"3,642",Northwest
6,Portland Trail Blazers,"2,134","1,836",0.5379999999999999,1970–71,"3,970",Northwest
7,Phoenix Suns,"2,186","1,948",0.529,1968–69,"4,134",Pacific
8,Houston Rockets,"2,225","1,991",0.528,1967–68,"4,216",Southwest
9,Miami Heat,"1,294","1,200",0.519,1988–89,"2,494",Southeast
10,Milwaukee Bucks,"2,129","2,005",0.515,1968–69,"4,134",Central
